,question,course,document
0,When does the course begin?,data-engineering-zoomcamp,c02e79ef
1,How can I get the course schedule?,data-engineering-zoomcamp,c02e79ef
2,What is the link for course registration?,data-engineering-zoomcamp,c02e79ef
3,How can I receive course announcements?,data-engineering-zoomcamp,c02e79ef
4,Where do I join the Slack channel?,data-engineering-zoomcamp,c02e79ef
5,Where can I find the prerequisites for this course?,data-engineering-zoomcamp,1f6520ca
6,How do I check the prerequisites for this course?,data-engineering-zoomcamp,1f6520ca
7,Where are the course prerequisites listed?,data-engineering-zoomcamp,1f6520ca
8,What are the requirements for joining this course?,data-engineering-zoomcamp,1f6520ca
9,Where is the list of prerequisites for the course?,data-engineering-zoomcamp,1f6520ca
10,Can I enroll in the course after it starts?,data-engineering-zoomcamp,7842b56a
11,Is late registration possible?,data-engineering-zoomcamp,7842b56a
12,Am I eligible to submit homework if I join late?,data-engineering-zoomcamp,7842b56a
13,Are there deadlines for final projects if I join late?,data-engineering-zoomcamp,7842b56a
14,Can I submit all assignments at the end of the course if I start late?,data-engineering-zoomcamp,7842b56a
15,When will I receive the confirmation email after registering for the Data Engineering Bootcamp?,data-engineering-zoomcamp,0bbf41ec
16,Do I need the confirmation email to start the Data Engineering Bootcamp?,data-engineering-zoomcamp,0bbf41ec
17,Can I begin learning and submitting homework without registering for the Data Engineering Bootcamp?,data-engineering-zoomcamp,0bbf41ec
18,Is registration for the Data Engineering Bootcamp mandatory to start the course?,data-engineering-zoomcamp,0bbf41ec
19,What is the purpose of registering for the Data Engineering Bootcamp if it is not mandatory?,data-engineering-zoomcamp,0bbf41ec
20,question1,data-engineering-zoomcamp,63394d91
21,question2,data-engineering-zoomcamp,63394d91
22,question3,data-engineering-zoomcamp,63394d91
23,question4,data-engineering-zoomcamp,63394d91
24,question5,data-engineering-zoomcamp,63394d91
25,How many Zoom Camps are held each year?,data-engineering-zoomcamp,2ed9b986
26,Are the Zoom Camps held for the same course?,data-engineering-zoomcamp,2ed9b986
27,When does the Data-Engineering Zoom Camp take place?,data-engineering-zoomcamp,2ed9b986
28,Is there more than one Data-Engineering Zoom Camp cohort each year?,data-engineering-zoomcamp,2ed9b986
29,Can I take the Zoom Camps at my own pace?,data-engineering-zoomcamp,2ed9b986
30,Is Mage AI being used in the 2024 cohort?,data-engineering-zoomcamp,93e2c8ed
31,Were the terraform videos re-recorded for the 2024 cohort?,data-engineering-zoomcamp,93e2c8ed
32,Was Prefect used in the 2023 edition of the course?,data-engineering-zoomcamp,93e2c8ed
33,Will the 2024 edition have differences from the 2023 cohort?,data-engineering-zoomcamp,93e2c8ed
34,Is Airflow being used in the 2023 edition instead of Prefect?,data-engineering-zoomcamp,93e2c8ed
35,Can I access the course materials after the course finishes?,data-engineering-zoomcamp,a482086d
36,Is it possible to continue looking at the homework after the course ends?,data-engineering-zoomcamp,a482086d
37,Can I work at my own pace after the course is complete?,data-engineering-zoomcamp,a482086d
38,Will the material be available for preparing for the next cohort?,data-engineering-zoomcamp,a482086d
39,Can I start working on my final capstone project after the course ends?,data-engineering-zoomcamp,a482086d
40,Can I receive support while taking the self-paced course?,data-engineering-zoomcamp,eb56ae98
41,Is there an open channel for questions in the self-paced mode?,data-engineering-zoomcamp,eb56ae98
42,Should I check anything before asking a question on Slack?,data-engineering-zoomcamp,eb56ae98
43,How can the @ZoomcampQABot assist me in the self-paced course?,data-engineering-zoomcamp,eb56ae98
44,Is the @ZoomcampQABot completely reliable for course-related questions?,data-engineering-zoomcamp,eb56ae98
45,Which YouTube playlist contains all the main course videos?,data-engineering-zoomcamp,4292531b
46,How can I access the course videos directly from the GitHub repository?,data-engineering-zoomcamp,4292531b
47,Where can I find year-specific playlists for additional videos like office hours?,data-engineering-zoomcamp,4292531b
48,Is there a direct link to the Main 'DATA ENGINEERING' playlist on YouTube?,data-engineering-zoomcamp,4292531b
49,Where is the main playlist pinned in the communication channels?,data-engineering-zoomcamp,4292531b
50,How many weekly hours should I dedicate to this course?,data-engineering-zoomcamp,ea739c65
51,What is the estimated time commitment for this course per week?,data-engineering-zoomcamp,ea739c65
52,"On average, how much time will this course take each week?",data-engineering-zoomcamp,ea739c65
53,What is the weekly expected study time for this course?,data-engineering-zoomcamp,ea739c65
54,How many hours should I plan to spend on this course every week?,data-engineering-zoomcamp,ea739c65
55,Can I receive a certificate if I complete the course at my own pace?,data-engineering-zoomcamp,cb257ee5
56,Is peer-review necessary for earning a certificate?,data-engineering-zoomcamp,cb257ee5
57,Why am I unable to get a certificate for the self-paced course?,data-engineering-zoomcamp,cb257ee5
58,Can I still earn a certificate if I don't participate in a live cohort?,data-engineering-zoomcamp,cb257ee5
59,Why are certificates awarded only during the time course is running?,data-engineering-zoomcamp,cb257ee5
60,Where is the zoom link for the office hours or workshop sessions?,data-engineering-zoomcamp,04aa4897
61,How do students participate in the office hours or workshop sessions?,data-engineering-zoomcamp,04aa4897
62,Where can I find the video URL for the live sessions before they begin?,data-engineering-zoomcamp,04aa4897
63,How should students submit questions during the live session?,data-engineering-zoomcamp,04aa4897
64,Where should I not post my questions during the live session to ensure they are answered?,data-engineering-zoomcamp,04aa4897
65,Will office hours be available if I miss them?,data-engineering-zoomcamp,9681be3b
66,Can I rewatch a workshop later if I can't attend?,data-engineering-zoomcamp,9681be3b
67,Are office hour sessions recorded for later viewing?,data-engineering-zoomcamp,9681be3b
68,Is there a way to access office hours after they've ended?,data-engineering-zoomcamp,9681be3b
69,What happens if I'm unable to attend the live office hours?,data-engineering-zoomcamp,9681be3b
70,Where can I find updated deadlines for homework and projects?,data-engineering-zoomcamp,a1daf537
71,Is there a specific place to look for extensions to deadlines?,data-engineering-zoomcamp,a1daf537
72,How will I know if there are any new updates about project deadlines?,data-engineering-zoomcamp,a1daf537
73,Who provides announcements about deadline extensions or other news?,data-engineering-zoomcamp,a1daf537
74,What should I check if I need information on updated deadlines from the Instructor(s)?,data-engineering-zoomcamp,a1daf537
75,Is it possible to submit homework after the due date?,data-engineering-zoomcamp,be5bfee4
76,What happens if the homework form is still open after the due date?,data-engineering-zoomcamp,be5bfee4
77,Can I confirm my late homework submission?,data-engineering-zoomcamp,be5bfee4
78,Are there any exceptions for late homework submissions?,data-engineering-zoomcamp,be5bfee4
79,How do I verify the date-time of my homework submission?,data-engineering-zoomcamp,be5bfee4
80,What is the URL for submitting homework assignments?,data-engineering-zoomcamp,0e424a44
81,Where should I upload my homework code?,data-engineering-zoomcamp,0e424a44
82,How can I share my homework repository?,data-engineering-zoomcamp,0e424a44
83,What should the homework link contain?,data-engineering-zoomcamp,0e424a44
84,Where will the instructor look for my homework?,data-engineering-zoomcamp,0e424a44
85,How are homework assignments graded and how can I see my points?,data-engineering-zoomcamp,29865466
86,What points contribute to the leaderboard total?,data-engineering-zoomcamp,29865466
87,How many points do I get for submitting an FAQ?,data-engineering-zoomcamp,29865466
88,How many points do I earn for each learning in public link?,data-engineering-zoomcamp,29865466
89,Where can I find the sum of all my points earned in the course?,data-engineering-zoomcamp,29865466
90,How do I see my display name for the leaderboard?,data-engineering-zoomcamp,016d46a1
91,What do I do if I am not on the leaderboard?,data-engineering-zoomcamp,016d46a1
92,How is my display name determined when I set up my account?,data-engineering-zoomcamp,016d46a1
93,"Can I change my display name and if so, how?",data-engineering-zoomcamp,016d46a1
94,Where can I edit my course profile to find my display name?,data-engineering-zoomcamp,016d46a1
95,Is Python 3.9 recommended for our 2024 course?,data-engineering-zoomcamp,47972cb1
96,Can we use Python 3.10 or 3.11 instead of 3.9?,data-engineering-zoomcamp,47972cb1
97,Why is Python 3.9 still recommended in 2024?,data-engineering-zoomcamp,47972cb1
98,Is Python 3.9 necessary for troubleshooting against recorded videos?,data-engineering-zoomcamp,47972cb1
99,Are Python 3.10 and 3.11 suitable for use in the course?,data-engineering-zoomcamp,47972cb1
100,What are the recommended environments for setting up the course?,data-engineering-zoomcamp,ddf6c1b3
101,Can I set up the environment on my local machine for this course?,data-engineering-zoomcamp,ddf6c1b3
102,What should I do if I prefer working locally on my laptop or PC?,data-engineering-zoomcamp,ddf6c1b3
103,Are there any challenges for Windows users when setting up the local environment?,data-engineering-zoomcamp,ddf6c1b3
104,Why might someone choose to use a virtual machine for this course?,data-engineering-zoomcamp,ddf6c1b3
105,Can I use GitHub Codespaces instead of cli/git bash for data ingestion and Docker file creation?,data-engineering-zoomcamp,ac25d3af
106,Does GitHub Codespaces come with pre-installed tools?,data-engineering-zoomcamp,ac25d3af
107,Can I open a GitHub repository directly in a GitHub Codespace?,data-engineering-zoomcamp,ac25d3af
108,Is Docker available in GitHub Codespaces?,data-engineering-zoomcamp,ac25d3af
109,Are computing Linux resources provided by GitHub Codespaces?,data-engineering-zoomcamp,ac25d3af
110,"Do I have to use GitHub Codespaces for the course, or can I use my own setup?",data-engineering-zoomcamp,251218fc
111,Is it mandatory to use GCP VM or can I work from my laptop?,data-engineering-zoomcamp,251218fc
112,Is there flexibility in choosing the development environment for this course?,data-engineering-zoomcamp,251218fc
